2025 09/08 16:58:08 [RUN 00029] START : RAYRAW #9, phase 4
2025 09/08 16:59:25 [RUN 00029] G_OFF*: RAYRAW #9, phase 4
2025 09/08 16:59:26 [RUN 00029] STOP  : RAYRAW #9, phase 4
2025 09/08 17:00:27 [RUN 00030] START : RAYRAW #9, phase 5
2025 09/08 17:02:21 [RUN 00030] G_OFF*: RAYRAW #9, phase 5
2025 09/08 17:02:22 [RUN 00030] STOP  : RAYRAW #9, phase 5
2025 09/08 17:04:10 [RUN 00031] START : RAYRAW #9, phase 6
2025 09/08 17:09:38 [RUN 00031] G_OFF*: RAYRAW #9, phase 6
2025 09/08 17:09:39 [RUN 00031] STOP  : RAYRAW #9, phase 6
2025 09/08 17:11:03 [RUN 00032] START : RAYRAW #9, phase 7
2025 09/08 17:12:00 [RUN 00032] G_OFF*: RAYRAW #9, phase 7
2025 09/08 17:12:01 [RUN 00032] STOP  : RAYRAW #9, phase 7
2025 09/08 17:14:51 [RUN 00033] START : RAYRAW #5, phase 0
2025 09/08 17:16:41 [RUN 00033] G_OFF*: RAYRAW #5, phase 0
2025 09/08 17:16:42 [RUN 00033] STOP  : RAYRAW #5, phase 0
2025 09/08 17:17:39 [RUN 00034] START : RAYRAW #5, phase 1
2025 09/08 17:18:37 [RUN 00034] G_OFF*: RAYRAW #5, phase 1
2025 09/08 17:18:38 [RUN 00034] STOP  : RAYRAW #5, phase 1
2025 09/08 17:19:31 [RUN 00035] START : RAYRAW #5, phase 2
2025 09/08 17:20:05 [RUN 00035] G_OFF*: RAYRAW #5, phase 2
2025 09/08 17:20:06 [RUN 00035] STOP  : RAYRAW #5, phase 2
2025 09/08 17:21:12 [RUN 00036] START : RAYRAW #5, phase 3
2025 09/08 17:21:44 [RUN 00036] G_OFF*: RAYRAW #5, phase 3
2025 09/08 17:21:45 [RUN 00036] STOP  : RAYRAW #5, phase 3
2025 09/08 17:22:51 [RUN 00037] START : RAYRAW #5, phase 4
2025 09/08 17:23:45 [RUN 00037] G_OFF*: RAYRAW #5, phase 4
2025 09/08 17:23:46 [RUN 00037] STOP  : RAYRAW #5, phase 4
2025 09/08 17:24:42 [RUN 00038] START : RAYRAW #5, phase 5
